2016-11-14 13:42:01,453 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:42:01,454 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:42:31,470 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:42:31,471 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:43:01,490 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:43:01,493 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:43:31,506 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:43:31,509 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:44:01,525 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:44:01,526 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:44:31,542 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:44:31,543 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:45:01,559 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:45:01,561 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:45:31,575 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:45:31,578 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:46:01,592 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:46:01,595 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:46:31,609 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:46:31,611 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:47:01,627 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:47:01,627 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:47:31,635 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:47:31,638 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:48:01,653 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:48:01,654 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:48:31,670 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:48:31,671 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:49:01,687 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:49:01,690 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:49:31,704 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:49:31,707 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:50:01,721 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:50:01,723 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:50:31,739 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:50:31,740 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:51:01,756 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:51:01,757 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:51:31,772 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:51:31,773 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:52:01,789 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:52:01,790 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:52:31,805 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:52:31,809 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:52:35,595 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:52:35,598 | __main__   | INFO     |  main             | <module>              |   ______     ______   ______     ______     ______      ______   ______     ______     ______     ______     ______     __    __    
2016-11-14 13:52:35,601 | __main__   | INFO     |  main             | <module>              |  /\  ___\   /\__  _\ /\  __ \   /\  == \   /\__  _\    /\  == \ /\  == \   /\  __ \   /\  ___\   /\  == \   /\  __ \   /\ "-./  \   
2016-11-14 13:52:35,604 | __main__   | INFO     |  main             | <module>              |  \ \___  \  \/_/\ \/ \ \  __ \  \ \  __<   \/_/\ \/    \ \  _-/ \ \  __<   \ \ \/\ \  \ \ \__ \  \ \  __<   \ \  __ \  \ \ \-./\ \  
2016-11-14 13:52:35,605 | __main__   | INFO     |  main             | <module>              |   \/\_____\    \ \_\  \ \_\ \_\  \ \_\ \_\    \ \_\     \ \_\    \ \_\ \_\  \ \_____\  \ \_____\  \ \_\ \_\  \ \_\ \_\  \ \_\ \ \_\ 
2016-11-14 13:52:35,608 | __main__   | INFO     |  main             | <module>              |    \/_____/     \/_/   \/_/\/_/   \/_/ /_/     \/_/      \/_/     \/_/ /_/   \/_____/   \/_____/   \/_/ /_/   \/_/\/_/   \/_/  \/_/ 
2016-11-14 13:52:35,611 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:52:35,614 | __main__   | INFO     |  main             | <module>              | current version!!!!
2016-11-14 13:52:35,617 | mailer     | DEBUG    |  mailer           | __init__              | initialized ranasmtp01.ra.rockwell.com
2016-11-14 13:52:35,619 | __main__   | DEBUG    |  main             | <module>              | starting Mailer!------------------------------------------------
2016-11-14 13:52:35,622 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:52:35,622 | __main__   | DEBUG    |  main             | <module>              | main loop heartbeat
2016-11-14 13:52:35,630 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:53:05,657 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:53:05,658 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:53:35,674 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:53:35,703 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:54:05,726 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:54:05,759 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:54:35,779 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:54:35,780 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:55:04,490 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:55:04,493 | __main__   | INFO     |  main             | <module>              |   ______     ______   ______     ______     ______      ______   ______     ______     ______     ______     ______     __    __    
2016-11-14 13:55:04,494 | __main__   | INFO     |  main             | <module>              |  /\  ___\   /\__  _\ /\  __ \   /\  == \   /\__  _\    /\  == \ /\  == \   /\  __ \   /\  ___\   /\  == \   /\  __ \   /\ "-./  \   
2016-11-14 13:55:04,497 | __main__   | INFO     |  main             | <module>              |  \ \___  \  \/_/\ \/ \ \  __ \  \ \  __<   \/_/\ \/    \ \  _-/ \ \  __<   \ \ \/\ \  \ \ \__ \  \ \  __<   \ \  __ \  \ \ \-./\ \  
2016-11-14 13:55:04,500 | __main__   | INFO     |  main             | <module>              |   \/\_____\    \ \_\  \ \_\ \_\  \ \_\ \_\    \ \_\     \ \_\    \ \_\ \_\  \ \_____\  \ \_____\  \ \_\ \_\  \ \_\ \_\  \ \_\ \ \_\ 
2016-11-14 13:55:04,503 | __main__   | INFO     |  main             | <module>              |    \/_____/     \/_/   \/_/\/_/   \/_/ /_/     \/_/      \/_/     \/_/ /_/   \/_____/   \/_____/   \/_/ /_/   \/_/\/_/   \/_/  \/_/ 
2016-11-14 13:55:04,506 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:55:04,509 | __main__   | INFO     |  main             | <module>              | current version!!!!
2016-11-14 13:55:04,512 | mailer     | DEBUG    |  mailer           | __init__              | initialized ranasmtp01.ra.rockwell.com
2016-11-14 13:55:04,515 | __main__   | DEBUG    |  main             | <module>              | starting Mailer!------------------------------------------------
2016-11-14 13:55:04,519 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:55:04,519 | __main__   | DEBUG    |  main             | <module>              | main loop heartbeat
2016-11-14 13:55:04,526 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:56:38,979 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:56:38,982 | __main__   | INFO     |  main             | <module>              |   ______     ______   ______     ______     ______      ______   ______     ______     ______     ______     ______     __    __    
2016-11-14 13:56:38,983 | __main__   | INFO     |  main             | <module>              |  /\  ___\   /\__  _\ /\  __ \   /\  == \   /\__  _\    /\  == \ /\  == \   /\  __ \   /\  ___\   /\  == \   /\  __ \   /\ "-./  \   
2016-11-14 13:56:38,986 | __main__   | INFO     |  main             | <module>              |  \ \___  \  \/_/\ \/ \ \  __ \  \ \  __<   \/_/\ \/    \ \  _-/ \ \  __<   \ \ \/\ \  \ \ \__ \  \ \  __<   \ \  __ \  \ \ \-./\ \  
2016-11-14 13:56:38,990 | __main__   | INFO     |  main             | <module>              |   \/\_____\    \ \_\  \ \_\ \_\  \ \_\ \_\    \ \_\     \ \_\    \ \_\ \_\  \ \_____\  \ \_____\  \ \_\ \_\  \ \_\ \_\  \ \_\ \ \_\ 
2016-11-14 13:56:38,992 | __main__   | INFO     |  main             | <module>              |    \/_____/     \/_/   \/_/\/_/   \/_/ /_/     \/_/      \/_/     \/_/ /_/   \/_____/   \/_____/   \/_/ /_/   \/_/\/_/   \/_/  \/_/ 
2016-11-14 13:56:38,994 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:56:38,997 | __main__   | INFO     |  main             | <module>              | current version!!!!
2016-11-14 13:56:39,002 | mailer     | DEBUG    |  mailer           | __init__              | initialized ranasmtp01.ra.rockwell.com
2016-11-14 13:56:39,003 | __main__   | DEBUG    |  main             | <module>              | starting Mailer!------------------------------------------------
2016-11-14 13:56:39,007 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:56:39,007 | __main__   | DEBUG    |  main             | <module>              | main loop heartbeat
2016-11-14 13:56:39,015 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:57:09,038 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:57:09,039 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:57:39,048 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:57:39,069 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:58:09,079 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:58:09,085 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:58:39,102 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:58:39,105 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:59:09,115 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:59:09,117 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:59:13,069 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:59:13,072 | __main__   | INFO     |  main             | <module>              |   ______     ______   ______     ______     ______      ______   ______     ______     ______     ______     ______     __    __    
2016-11-14 13:59:13,075 | __main__   | INFO     |  main             | <module>              |  /\  ___\   /\__  _\ /\  __ \   /\  == \   /\__  _\    /\  == \ /\  == \   /\  __ \   /\  ___\   /\  == \   /\  __ \   /\ "-./  \   
2016-11-14 13:59:13,076 | __main__   | INFO     |  main             | <module>              |  \ \___  \  \/_/\ \/ \ \  __ \  \ \  __<   \/_/\ \/    \ \  _-/ \ \  __<   \ \ \/\ \  \ \ \__ \  \ \  __<   \ \  __ \  \ \ \-./\ \  
2016-11-14 13:59:13,079 | __main__   | INFO     |  main             | <module>              |   \/\_____\    \ \_\  \ \_\ \_\  \ \_\ \_\    \ \_\     \ \_\    \ \_\ \_\  \ \_____\  \ \_____\  \ \_\ \_\  \ \_\ \_\  \ \_\ \ \_\ 
2016-11-14 13:59:13,082 | __main__   | INFO     |  main             | <module>              |    \/_____/     \/_/   \/_/\/_/   \/_/ /_/     \/_/      \/_/     \/_/ /_/   \/_____/   \/_____/   \/_/ /_/   \/_/\/_/   \/_/  \/_/ 
2016-11-14 13:59:13,085 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 13:59:13,088 | __main__   | INFO     |  main             | <module>              | current version!!!!
2016-11-14 13:59:13,092 | mailer     | DEBUG    |  mailer           | __init__              | initialized ranasmtp01.ra.rockwell.com
2016-11-14 13:59:13,095 | __main__   | DEBUG    |  main             | <module>              | starting Mailer!------------------------------------------------
2016-11-14 13:59:13,098 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:59:13,098 | __main__   | DEBUG    |  main             | <module>              | main loop heartbeat
2016-11-14 13:59:13,105 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 13:59:43,131 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 13:59:43,132 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:00:13,142 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:00:13,144 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:00:43,151 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:00:43,161 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:01:13,178 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:01:13,211 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:01:43,227 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:01:43,233 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:02:13,249 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:02:13,250 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:45:08,367 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 14:45:08,368 | __main__   | INFO     |  main             | <module>              |   ______     ______   ______     ______     ______      ______   ______     ______     ______     ______     ______     __    __    
2016-11-14 14:45:08,368 | __main__   | INFO     |  main             | <module>              |  /\  ___\   /\__  _\ /\  __ \   /\  == \   /\__  _\    /\  == \ /\  == \   /\  __ \   /\  ___\   /\  == \   /\  __ \   /\ "-./  \   
2016-11-14 14:45:08,368 | __main__   | INFO     |  main             | <module>              |  \ \___  \  \/_/\ \/ \ \  __ \  \ \  __<   \/_/\ \/    \ \  _-/ \ \  __<   \ \ \/\ \  \ \ \__ \  \ \  __<   \ \  __ \  \ \ \-./\ \  
2016-11-14 14:45:08,369 | __main__   | INFO     |  main             | <module>              |   \/\_____\    \ \_\  \ \_\ \_\  \ \_\ \_\    \ \_\     \ \_\    \ \_\ \_\  \ \_____\  \ \_____\  \ \_\ \_\  \ \_\ \_\  \ \_\ \ \_\ 
2016-11-14 14:45:08,369 | __main__   | INFO     |  main             | <module>              |    \/_____/     \/_/   \/_/\/_/   \/_/ /_/     \/_/      \/_/     \/_/ /_/   \/_____/   \/_____/   \/_/ /_/   \/_/\/_/   \/_/  \/_/ 
2016-11-14 14:45:08,371 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 14:45:08,371 | __main__   | INFO     |  main             | <module>              | current version!!!!
2016-11-14 14:45:08,371 | mailer     | DEBUG    |  mailer           | __init__              | initialized ranasmtp01.ra.rockwell.com
2016-11-14 14:45:08,371 | __main__   | DEBUG    |  main             | <module>              | starting Mailer!------------------------------------------------
2016-11-14 14:45:08,371 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:45:08,371 | __main__   | DEBUG    |  main             | <module>              | main loop heartbeat
2016-11-14 14:45:08,375 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:45:38,417 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:45:38,418 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 14:46:08,428 | mailer     | DEBUG    |  mailer           | run                   | processing notifications!------------------------------------------------------------------------------
2016-11-14 14:46:08,430 | mailer     | DEBUG    |  mailer           | send                  | send 0 messages
2016-11-14 20:08:50,420 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 20:08:50,443 | __main__   | INFO     |  main             | <module>              |   ______     ______   ______     ______     ______      ______   ______     ______     ______     ______     ______     __    __    
2016-11-14 20:08:50,444 | __main__   | INFO     |  main             | <module>              |  /\  ___\   /\__  _\ /\  __ \   /\  == \   /\__  _\    /\  == \ /\  == \   /\  __ \   /\  ___\   /\  == \   /\  __ \   /\ "-./  \   
2016-11-14 20:08:50,444 | __main__   | INFO     |  main             | <module>              |  \ \___  \  \/_/\ \/ \ \  __ \  \ \  __<   \/_/\ \/    \ \  _-/ \ \  __<   \ \ \/\ \  \ \ \__ \  \ \  __<   \ \  __ \  \ \ \-./\ \  
2016-11-14 20:08:50,444 | __main__   | INFO     |  main             | <module>              |   \/\_____\    \ \_\  \ \_\ \_\  \ \_\ \_\    \ \_\     \ \_\    \ \_\ \_\  \ \_____\  \ \_____\  \ \_\ \_\  \ \_\ \_\  \ \_\ \ \_\ 
2016-11-14 20:08:50,444 | __main__   | INFO     |  main             | <module>              |    \/_____/     \/_/   \/_/\/_/   \/_/ /_/     \/_/      \/_/     \/_/ /_/   \/_____/   \/_____/   \/_/ /_/   \/_/\/_/   \/_/  \/_/ 
2016-11-14 20:08:50,444 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
2016-11-14 20:08:50,446 | __main__   | INFO     |  main             | <module>              | current version!!!!
2016-11-14 20:08:50,446 | mailer     | DEBUG    |  mailer           | __init__              | initialized ranasmtp01.ra.rockwell.com
2016-11-14 20:09:44,582 | __main__   | INFO     |  main             | <module>              | ------------------------------------------------------------------------------------------------------------------------------------
